{'match': 0.012939453125, 'score': 0.012939453125, 'examples_seen': 6, 'step': 0, 'algorithm': 'naive_string_matcher'},
{'match': 0.333984375, 'score': 0.333984375, 'examples_seen': 6854, 'step': 800, 'algorithm': 'naive_string_matcher'},
{'match': 0.13671875, 'score': 0.13671875, 'examples_seen': 7290, 'step': 850, 'algorithm': 'naive_string_matcher'},
{'match': 0.303466796875, 'score': 0.303466796875, 'examples_seen': 7730, 'step': 900, 'algorithm': 'naive_string_matcher'},
{'match': 0.419921875, 'score': 0.419921875, 'examples_seen': 8160, 'step': 950, 'algorithm': 'naive_string_matcher'},
{'match': 0.328857421875, 'score': 0.328857421875, 'examples_seen': 8585, 'step': 1000, 'algorithm': 'naive_string_matcher'},
{'match': 0.51220703125, 'score': 0.51220703125, 'examples_seen': 9010, 'step': 1050, 'algorithm': 'naive_string_matcher'},
{'match': 0.345947265625, 'score': 0.345947265625, 'examples_seen': 9432, 'step': 1100, 'algorithm': 'naive_string_matcher'},
{'match': 0.51220703125, 'score': 0.51220703125, 'examples_seen': 9860, 'step': 1150, 'algorithm': 'naive_string_matcher'},
{'match': 0.50927734375, 'score': 0.50927734375, 'examples_seen': 10287, 'step': 1200, 'algorithm': 'naive_string_matcher'},
{'match': 0.598388671875, 'score': 0.598388671875, 'examples_seen': 10711, 'step': 1250, 'algorithm': 'naive_string_matcher'},
{'match': 0.5400390625, 'score': 0.5400390625, 'examples_seen': 11134, 'step': 1300, 'algorithm': 'naive_string_matcher'},
{'match': 0.508544921875, 'score': 0.508544921875, 'examples_seen': 11563, 'step': 1350, 'algorithm': 'naive_string_matcher'},
{'match': 0.284912109375, 'score': 0.284912109375, 'examples_seen': 11998, 'step': 1400, 'algorithm': 'naive_string_matcher'},
{'match': 0.513671875, 'score': 0.513671875, 'examples_seen': 12419, 'step': 1450, 'algorithm': 'naive_string_matcher'},
{'match': 0.722412109375, 'score': 0.722412109375, 'examples_seen': 12852, 'step': 1500, 'algorithm': 'naive_string_matcher'},
{'match': 0.718994140625, 'score': 0.718994140625, 'examples_seen': 13283, 'step': 1550, 'algorithm': 'naive_string_matcher'},
{'match': 0.539306640625, 'score': 0.539306640625, 'examples_seen': 13710, 'step': 1600, 'algorithm': 'naive_string_matcher'},
{'match': 0.798583984375, 'score': 0.798583984375, 'examples_seen': 14147, 'step': 1650, 'algorithm': 'naive_string_matcher'},
{'match': 0.781494140625, 'score': 0.781494140625, 'examples_seen': 14575, 'step': 1700, 'algorithm': 'naive_string_matcher'},
{'match': 0.7353515625, 'score': 0.7353515625, 'examples_seen': 14997, 'step': 1750, 'algorithm': 'naive_string_matcher'},
{'match': 0.77294921875, 'score': 0.77294921875, 'examples_seen': 15437, 'step': 1800, 'algorithm': 'naive_string_matcher'},
{'match': 0.781494140625, 'score': 0.781494140625, 'examples_seen': 15874, 'step': 1850, 'algorithm': 'naive_string_matcher'},
{'match': 0.826416015625, 'score': 0.826416015625, 'examples_seen': 16308, 'step': 1900, 'algorithm': 'naive_string_matcher'},
{'match': 0.755126953125, 'score': 0.755126953125, 'examples_seen': 16730, 'step': 1950, 'algorithm': 'naive_string_matcher'},
{'match': 0.770751953125, 'score': 0.770751953125, 'examples_seen': 17171, 'step': 2000, 'algorithm': 'naive_string_matcher'},
{'match': 0.79541015625, 'score': 0.79541015625, 'examples_seen': 17613, 'step': 2050, 'algorithm': 'naive_string_matcher'},
{'match': 0.66015625, 'score': 0.66015625, 'examples_seen': 18033, 'step': 2100, 'algorithm': 'naive_string_matcher'},
{'match': 0.649169921875, 'score': 0.649169921875, 'examples_seen': 18475, 'step': 2150, 'algorithm': 'naive_string_matcher'},
{'match': 0.613525390625, 'score': 0.613525390625, 'examples_seen': 18892, 'step': 2200, 'algorithm': 'naive_string_matcher'},
{'match': 0.762451171875, 'score': 0.762451171875, 'examples_seen': 19318, 'step': 2250, 'algorithm': 'naive_string_matcher'},
{'match': 0.72705078125, 'score': 0.72705078125, 'examples_seen': 19731, 'step': 2300, 'algorithm': 'naive_string_matcher'},
{'match': 0.760986328125, 'score': 0.760986328125, 'examples_seen': 20170, 'step': 2350, 'algorithm': 'naive_string_matcher'},
{'match': 0.712890625, 'score': 0.712890625, 'examples_seen': 20593, 'step': 2400, 'algorithm': 'naive_string_matcher'},
{'match': 0.7880859375, 'score': 0.7880859375, 'examples_seen': 21033, 'step': 2450, 'algorithm': 'naive_string_matcher'},
{'match': 0.75927734375, 'score': 0.75927734375, 'examples_seen': 21462, 'step': 2500, 'algorithm': 'naive_string_matcher'},
{'match': 0.783203125, 'score': 0.783203125, 'examples_seen': 21867, 'step': 2550, 'algorithm': 'naive_string_matcher'},
{'match': 0.773193359375, 'score': 0.773193359375, 'examples_seen': 22293, 'step': 2600, 'algorithm': 'naive_string_matcher'},
{'match': 0.84130859375, 'score': 0.84130859375, 'examples_seen': 22722, 'step': 2650, 'algorithm': 'naive_string_matcher'},
{'match': 0.850830078125, 'score': 0.850830078125, 'examples_seen': 23166, 'step': 2700, 'algorithm': 'naive_string_matcher'},
{'match': 0.819091796875, 'score': 0.819091796875, 'examples_seen': 23606, 'step': 2750, 'algorithm': 'naive_string_matcher'},
{'match': 0.894287109375, 'score': 0.894287109375, 'examples_seen': 24033, 'step': 2800, 'algorithm': 'naive_string_matcher'},
{'match': 0.93505859375, 'score': 0.93505859375, 'examples_seen': 24471, 'step': 2850, 'algorithm': 'naive_string_matcher'},
{'match': 0.865966796875, 'score': 0.865966796875, 'examples_seen': 24864, 'step': 2900, 'algorithm': 'naive_string_matcher'},
{'match': 0.8740234375, 'score': 0.8740234375, 'examples_seen': 25291, 'step': 2950, 'algorithm': 'naive_string_matcher'},
{'match': 0.732666015625, 'score': 0.732666015625, 'examples_seen': 25726, 'step': 3000, 'algorithm': 'naive_string_matcher'},
{'match': 0.766845703125, 'score': 0.766845703125, 'examples_seen': 26143, 'step': 3050, 'algorithm': 'naive_string_matcher'},
{'match': 0.8359375, 'score': 0.8359375, 'examples_seen': 26575, 'step': 3100, 'algorithm': 'naive_string_matcher'},
{'match': 0.820068359375, 'score': 0.820068359375, 'examples_seen': 26985, 'step': 3150, 'algorithm': 'naive_string_matcher'},
{'match': 0.78515625, 'score': 0.78515625, 'examples_seen': 27414, 'step': 3200, 'algorithm': 'naive_string_matcher'},
{'match': 0.65869140625, 'score': 0.65869140625, 'examples_seen': 27853, 'step': 3250, 'algorithm': 'naive_string_matcher'},
{'match': 0.805908203125, 'score': 0.805908203125, 'examples_seen': 28272, 'step': 3300, 'algorithm': 'naive_string_matcher'},
{'match': 0.870849609375, 'score': 0.870849609375, 'examples_seen': 28699, 'step': 3350, 'algorithm': 'naive_string_matcher'},
{'match': 0.88623046875, 'score': 0.88623046875, 'examples_seen': 29117, 'step': 3400, 'algorithm': 'naive_string_matcher'},
{'match': 0.760009765625, 'score': 0.760009765625, 'examples_seen': 29537, 'step': 3450, 'algorithm': 'naive_string_matcher'},
{'match': 0.838134765625, 'score': 0.838134765625, 'examples_seen': 29956, 'step': 3500, 'algorithm': 'naive_string_matcher'},
{'match': 0.800537109375, 'score': 0.800537109375, 'examples_seen': 30369, 'step': 3550, 'algorithm': 'naive_string_matcher'},
{'match': 0.833251953125, 'score': 0.833251953125, 'examples_seen': 30790, 'step': 3600, 'algorithm': 'naive_string_matcher'},
{'match': 0.85888671875, 'score': 0.85888671875, 'examples_seen': 31219, 'step': 3650, 'algorithm': 'naive_string_matcher'},
{'match': 0.845458984375, 'score': 0.845458984375, 'examples_seen': 31646, 'step': 3700, 'algorithm': 'naive_string_matcher'},
{'match': 0.877197265625, 'score': 0.877197265625, 'examples_seen': 32075, 'step': 3750, 'algorithm': 'naive_string_matcher'},
{'match': 0.811279296875, 'score': 0.811279296875, 'examples_seen': 32508, 'step': 3800, 'algorithm': 'naive_string_matcher'},
{'match': 0.868408203125, 'score': 0.868408203125, 'examples_seen': 32933, 'step': 3850, 'algorithm': 'naive_string_matcher'},
{'match': 0.762939453125, 'score': 0.762939453125, 'examples_seen': 33359, 'step': 3900, 'algorithm': 'naive_string_matcher'},
{'match': 0.861083984375, 'score': 0.861083984375, 'examples_seen': 33783, 'step': 3950, 'algorithm': 'naive_string_matcher'},
{'match': 0.83935546875, 'score': 0.83935546875, 'examples_seen': 34206, 'step': 4000, 'algorithm': 'naive_string_matcher'},
{'match': 0.88623046875, 'score': 0.88623046875, 'examples_seen': 34638, 'step': 4050, 'algorithm': 'naive_string_matcher'},
{'match': 0.84033203125, 'score': 0.84033203125, 'examples_seen': 35068, 'step': 4100, 'algorithm': 'naive_string_matcher'},
{'match': 0.8447265625, 'score': 0.8447265625, 'examples_seen': 35494, 'step': 4150, 'algorithm': 'naive_string_matcher'},
{'match': 0.7919921875, 'score': 0.7919921875, 'examples_seen': 35930, 'step': 4200, 'algorithm': 'naive_string_matcher'},
{'match': 0.849609375, 'score': 0.849609375, 'examples_seen': 36344, 'step': 4250, 'algorithm': 'naive_string_matcher'},
{'match': 0.741943359375, 'score': 0.741943359375, 'examples_seen': 36773, 'step': 4300, 'algorithm': 'naive_string_matcher'},
{'match': 0.84765625, 'score': 0.84765625, 'examples_seen': 37193, 'step': 4350, 'algorithm': 'naive_string_matcher'},
{'match': 0.84619140625, 'score': 0.84619140625, 'examples_seen': 37614, 'step': 4400, 'algorithm': 'naive_string_matcher'},
{'match': 0.8681640625, 'score': 0.8681640625, 'examples_seen': 38049, 'step': 4450, 'algorithm': 'naive_string_matcher'},
{'match': 0.81787109375, 'score': 0.81787109375, 'examples_seen': 38491, 'step': 4500, 'algorithm': 'naive_string_matcher'},
{'match': 0.779296875, 'score': 0.779296875, 'examples_seen': 38908, 'step': 4550, 'algorithm': 'naive_string_matcher'},
{'match': 0.763671875, 'score': 0.763671875, 'examples_seen': 39338, 'step': 4600, 'algorithm': 'naive_string_matcher'},
{'match': 0.769775390625, 'score': 0.769775390625, 'examples_seen': 39768, 'step': 4650, 'algorithm': 'naive_string_matcher'},
{'match': 0.841796875, 'score': 0.841796875, 'examples_seen': 40189, 'step': 4700, 'algorithm': 'naive_string_matcher'},
{'match': 0.7685546875, 'score': 0.7685546875, 'examples_seen': 40633, 'step': 4750, 'algorithm': 'naive_string_matcher'},
{'match': 0.869384765625, 'score': 0.869384765625, 'examples_seen': 41053, 'step': 4800, 'algorithm': 'naive_string_matcher'},
{'match': 0.822265625, 'score': 0.822265625, 'examples_seen': 41471, 'step': 4850, 'algorithm': 'naive_string_matcher'},
{'match': 0.8564453125, 'score': 0.8564453125, 'examples_seen': 41901, 'step': 4900, 'algorithm': 'naive_string_matcher'},
{'match': 0.851806640625, 'score': 0.851806640625, 'examples_seen': 42337, 'step': 4950, 'algorithm': 'naive_string_matcher'},
{'match': 0.885009765625, 'score': 0.885009765625, 'examples_seen': 42762, 'step': 5000, 'algorithm': 'naive_string_matcher'},
{'match': 0.8212890625, 'score': 0.8212890625, 'examples_seen': 43189, 'step': 5050, 'algorithm': 'naive_string_matcher'},
{'match': 0.733642578125, 'score': 0.733642578125, 'examples_seen': 43615, 'step': 5100, 'algorithm': 'naive_string_matcher'},
{'match': 0.8017578125, 'score': 0.8017578125, 'examples_seen': 44021, 'step': 5150, 'algorithm': 'naive_string_matcher'},
{'match': 0.7802734375, 'score': 0.7802734375, 'examples_seen': 44444, 'step': 5200, 'algorithm': 'naive_string_matcher'},
{'match': 0.838623046875, 'score': 0.838623046875, 'examples_seen': 44873, 'step': 5250, 'algorithm': 'naive_string_matcher'},
{'match': 0.84521484375, 'score': 0.84521484375, 'examples_seen': 45296, 'step': 5300, 'algorithm': 'naive_string_matcher'},
{'match': 0.724609375, 'score': 0.724609375, 'examples_seen': 45726, 'step': 5350, 'algorithm': 'naive_string_matcher'},
{'match': 0.80517578125, 'score': 0.80517578125, 'examples_seen': 46148, 'step': 5400, 'algorithm': 'naive_string_matcher'},
{'match': 0.829833984375, 'score': 0.829833984375, 'examples_seen': 46567, 'step': 5450, 'algorithm': 'naive_string_matcher'},
{'match': 0.779052734375, 'score': 0.779052734375, 'examples_seen': 47004, 'step': 5500, 'algorithm': 'naive_string_matcher'},
{'match': 0.83447265625, 'score': 0.83447265625, 'examples_seen': 47426, 'step': 5550, 'algorithm': 'naive_string_matcher'},
{'match': 0.797119140625, 'score': 0.797119140625, 'examples_seen': 47851, 'step': 5600, 'algorithm': 'naive_string_matcher'},
{'match': 0.815673828125, 'score': 0.815673828125, 'examples_seen': 48278, 'step': 5650, 'algorithm': 'naive_string_matcher'},
{'match': 0.8505859375, 'score': 0.8505859375, 'examples_seen': 48709, 'step': 5700, 'algorithm': 'naive_string_matcher'},
{'match': 0.8720703125, 'score': 0.8720703125, 'examples_seen': 49138, 'step': 5750, 'algorithm': 'naive_string_matcher'},
{'match': 0.81396484375, 'score': 0.81396484375, 'examples_seen': 49571, 'step': 5800, 'algorithm': 'naive_string_matcher'},
{'match': 0.836669921875, 'score': 0.836669921875, 'examples_seen': 49997, 'step': 5850, 'algorithm': 'naive_string_matcher'},
{'match': 0.719482421875, 'score': 0.719482421875, 'examples_seen': 50405, 'step': 5900, 'algorithm': 'naive_string_matcher'},
{'match': 0.768310546875, 'score': 0.768310546875, 'examples_seen': 50832, 'step': 5950, 'algorithm': 'naive_string_matcher'},
{'match': 0.77392578125, 'score': 0.77392578125, 'examples_seen': 51263, 'step': 6000, 'algorithm': 'naive_string_matcher'},
{'match': 0.8671875, 'score': 0.8671875, 'examples_seen': 51683, 'step': 6050, 'algorithm': 'naive_string_matcher'},
{'match': 0.837646484375, 'score': 0.837646484375, 'examples_seen': 52121, 'step': 6100, 'algorithm': 'naive_string_matcher'},
{'match': 0.818359375, 'score': 0.818359375, 'examples_seen': 52555, 'step': 6150, 'algorithm': 'naive_string_matcher'},
{'match': 0.925537109375, 'score': 0.925537109375, 'examples_seen': 52985, 'step': 6200, 'algorithm': 'naive_string_matcher'},
{'match': 0.8759765625, 'score': 0.8759765625, 'examples_seen': 53416, 'step': 6250, 'algorithm': 'naive_string_matcher'},
{'match': 0.843017578125, 'score': 0.843017578125, 'examples_seen': 53848, 'step': 6300, 'algorithm': 'naive_string_matcher'},
{'match': 0.906982421875, 'score': 0.906982421875, 'examples_seen': 54268, 'step': 6350, 'algorithm': 'naive_string_matcher'},
{'match': 0.848876953125, 'score': 0.848876953125, 'examples_seen': 54706, 'step': 6400, 'algorithm': 'naive_string_matcher'},
{'match': 0.92138671875, 'score': 0.92138671875, 'examples_seen': 55137, 'step': 6450, 'algorithm': 'naive_string_matcher'},
{'match': 0.8837890625, 'score': 0.8837890625, 'examples_seen': 55556, 'step': 6500, 'algorithm': 'naive_string_matcher'},
{'match': 0.863037109375, 'score': 0.863037109375, 'examples_seen': 55989, 'step': 6550, 'algorithm': 'naive_string_matcher'},
{'match': 0.947265625, 'score': 0.947265625, 'examples_seen': 56405, 'step': 6600, 'algorithm': 'naive_string_matcher'},
{'match': 0.904541015625, 'score': 0.904541015625, 'examples_seen': 56825, 'step': 6650, 'algorithm': 'naive_string_matcher'},
{'match': 0.91748046875, 'score': 0.91748046875, 'examples_seen': 57245, 'step': 6700, 'algorithm': 'naive_string_matcher'},
{'match': 0.9375, 'score': 0.9375, 'examples_seen': 57668, 'step': 6750, 'algorithm': 'naive_string_matcher'},
{'match': 0.846923828125, 'score': 0.846923828125, 'examples_seen': 58100, 'step': 6800, 'algorithm': 'naive_string_matcher'},
{'match': 0.860595703125, 'score': 0.860595703125, 'examples_seen': 58545, 'step': 6850, 'algorithm': 'naive_string_matcher'},
{'match': 0.92822265625, 'score': 0.92822265625, 'examples_seen': 58964, 'step': 6900, 'algorithm': 'naive_string_matcher'},
{'match': 0.86083984375, 'score': 0.86083984375, 'examples_seen': 59387, 'step': 6950, 'algorithm': 'naive_string_matcher'},
{'match': 0.861572265625, 'score': 0.861572265625, 'examples_seen': 59821, 'step': 7000, 'algorithm': 'naive_string_matcher'},
{'match': 0.796875, 'score': 0.796875, 'examples_seen': 60250, 'step': 7050, 'algorithm': 'naive_string_matcher'},
{'match': 0.93505859375, 'score': 0.93505859375, 'examples_seen': 60670, 'step': 7100, 'algorithm': 'naive_string_matcher'},
{'match': 0.848388671875, 'score': 0.848388671875, 'examples_seen': 61101, 'step': 7150, 'algorithm': 'naive_string_matcher'},
{'match': 0.891845703125, 'score': 0.891845703125, 'examples_seen': 61517, 'step': 7200, 'algorithm': 'naive_string_matcher'},
{'match': 0.95361328125, 'score': 0.95361328125, 'examples_seen': 61957, 'step': 7250, 'algorithm': 'naive_string_matcher'},
{'match': 0.901611328125, 'score': 0.901611328125, 'examples_seen': 62388, 'step': 7300, 'algorithm': 'naive_string_matcher'},
{'match': 0.873779296875, 'score': 0.873779296875, 'examples_seen': 62820, 'step': 7350, 'algorithm': 'naive_string_matcher'},
{'match': 0.865234375, 'score': 0.865234375, 'examples_seen': 63251, 'step': 7400, 'algorithm': 'naive_string_matcher'},
{'match': 0.784912109375, 'score': 0.784912109375, 'examples_seen': 63703, 'step': 7450, 'algorithm': 'naive_string_matcher'},
{'match': 0.882080078125, 'score': 0.882080078125, 'examples_seen': 64131, 'step': 7500, 'algorithm': 'naive_string_matcher'},
{'match': 0.92822265625, 'score': 0.92822265625, 'examples_seen': 64549, 'step': 7550, 'algorithm': 'naive_string_matcher'},
{'match': 0.935302734375, 'score': 0.935302734375, 'examples_seen': 64971, 'step': 7600, 'algorithm': 'naive_string_matcher'},
{'match': 0.82958984375, 'score': 0.82958984375, 'examples_seen': 65401, 'step': 7650, 'algorithm': 'naive_string_matcher'},
{'match': 0.886474609375, 'score': 0.886474609375, 'examples_seen': 65826, 'step': 7700, 'algorithm': 'naive_string_matcher'},
{'match': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 66239, 'step': 7750, 'algorithm': 'naive_string_matcher'},
{'match': 0.876953125, 'score': 0.876953125, 'examples_seen': 66662, 'step': 7800, 'algorithm': 'naive_string_matcher'},
{'match': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 67093, 'step': 7850, 'algorithm': 'naive_string_matcher'},
{'match': 0.799072265625, 'score': 0.799072265625, 'examples_seen': 67521, 'step': 7900, 'algorithm': 'naive_string_matcher'},
{'match': 0.886962890625, 'score': 0.886962890625, 'examples_seen': 67935, 'step': 7950, 'algorithm': 'naive_string_matcher'},
{'match': 0.875732421875, 'score': 0.875732421875, 'examples_seen': 68354, 'step': 8000, 'algorithm': 'naive_string_matcher'},
{'match': 0.918212890625, 'score': 0.918212890625, 'examples_seen': 68786, 'step': 8050, 'algorithm': 'naive_string_matcher'},
{'match': 0.945068359375, 'score': 0.945068359375, 'examples_seen': 69210, 'step': 8100, 'algorithm': 'naive_string_matcher'},
{'match': 0.79052734375, 'score': 0.79052734375, 'examples_seen': 69636, 'step': 8150, 'algorithm': 'naive_string_matcher'},
{'match': 0.736572265625, 'score': 0.736572265625, 'examples_seen': 70078, 'step': 8200, 'algorithm': 'naive_string_matcher'},
{'match': 0.910400390625, 'score': 0.910400390625, 'examples_seen': 70509, 'step': 8250, 'algorithm': 'naive_string_matcher'},
{'match': 0.91748046875, 'score': 0.91748046875, 'examples_seen': 70940, 'step': 8300, 'algorithm': 'naive_string_matcher'},
{'match': 0.86962890625, 'score': 0.86962890625, 'examples_seen': 71378, 'step': 8350, 'algorithm': 'naive_string_matcher'},
{'match': 0.912353515625, 'score': 0.912353515625, 'examples_seen': 71826, 'step': 8400, 'algorithm': 'naive_string_matcher'},
{'match': 0.888916015625, 'score': 0.888916015625, 'examples_seen': 72251, 'step': 8450, 'algorithm': 'naive_string_matcher'},
{'match': 0.88916015625, 'score': 0.88916015625, 'examples_seen': 72669, 'step': 8500, 'algorithm': 'naive_string_matcher'},
{'match': 0.90771484375, 'score': 0.90771484375, 'examples_seen': 73086, 'step': 8550, 'algorithm': 'naive_string_matcher'},
{'match': 0.940673828125, 'score': 0.940673828125, 'examples_seen': 73518, 'step': 8600, 'algorithm': 'naive_string_matcher'},
{'match': 0.873291015625, 'score': 0.873291015625, 'examples_seen': 73940, 'step': 8650, 'algorithm': 'naive_string_matcher'},
{'match': 0.95751953125, 'score': 0.95751953125, 'examples_seen': 74354, 'step': 8700, 'algorithm': 'naive_string_matcher'},
{'match': 0.84033203125, 'score': 0.84033203125, 'examples_seen': 74787, 'step': 8750, 'algorithm': 'naive_string_matcher'},
{'match': 0.7939453125, 'score': 0.7939453125, 'examples_seen': 75208, 'step': 8800, 'algorithm': 'naive_string_matcher'},
{'match': 0.85888671875, 'score': 0.85888671875, 'examples_seen': 75629, 'step': 8850, 'algorithm': 'naive_string_matcher'},
{'match': 0.91650390625, 'score': 0.91650390625, 'examples_seen': 76060, 'step': 8900, 'algorithm': 'naive_string_matcher'},
{'match': 0.783203125, 'score': 0.783203125, 'examples_seen': 76478, 'step': 8950, 'algorithm': 'naive_string_matcher'},
{'match': 0.86669921875, 'score': 0.86669921875, 'examples_seen': 76896, 'step': 9000, 'algorithm': 'naive_string_matcher'},
{'match': 0.837646484375, 'score': 0.837646484375, 'examples_seen': 77323, 'step': 9050, 'algorithm': 'naive_string_matcher'},
{'match': 0.93505859375, 'score': 0.93505859375, 'examples_seen': 77760, 'step': 9100, 'algorithm': 'naive_string_matcher'},
{'match': 0.904052734375, 'score': 0.904052734375, 'examples_seen': 78180, 'step': 9150, 'algorithm': 'naive_string_matcher'},
{'match': 0.91357421875, 'score': 0.91357421875, 'examples_seen': 78607, 'step': 9200, 'algorithm': 'naive_string_matcher'},
{'match': 0.94775390625, 'score': 0.94775390625, 'examples_seen': 79024, 'step': 9250, 'algorithm': 'naive_string_matcher'},
{'match': 0.930908203125, 'score': 0.930908203125, 'examples_seen': 79436, 'step': 9300, 'algorithm': 'naive_string_matcher'},
{'match': 0.929443359375, 'score': 0.929443359375, 'examples_seen': 79874, 'step': 9350, 'algorithm': 'naive_string_matcher'},
{'match': 0.9208984375, 'score': 0.9208984375, 'examples_seen': 80306, 'step': 9400, 'algorithm': 'naive_string_matcher'},
{'match': 0.909423828125, 'score': 0.909423828125, 'examples_seen': 80720, 'step': 9450, 'algorithm': 'naive_string_matcher'},
{'match': 0.93408203125, 'score': 0.93408203125, 'examples_seen': 81155, 'step': 9500, 'algorithm': 'naive_string_matcher'},
{'match': 0.937255859375, 'score': 0.937255859375, 'examples_seen': 81590, 'step': 9550, 'algorithm': 'naive_string_matcher'},
{'match': 0.88916015625, 'score': 0.88916015625, 'examples_seen': 82031, 'step': 9600, 'algorithm': 'naive_string_matcher'},
{'match': 0.935302734375, 'score': 0.935302734375, 'examples_seen': 82454, 'step': 9650, 'algorithm': 'naive_string_matcher'},
{'match': 0.839599609375, 'score': 0.839599609375, 'examples_seen': 82892, 'step': 9700, 'algorithm': 'naive_string_matcher'},
{'match': 0.947998046875, 'score': 0.947998046875, 'examples_seen': 83324, 'step': 9750, 'algorithm': 'naive_string_matcher'},
{'match': 0.838623046875, 'score': 0.838623046875, 'examples_seen': 83743, 'step': 9800, 'algorithm': 'naive_string_matcher'},
{'match': 0.8466796875, 'score': 0.8466796875, 'examples_seen': 84166, 'step': 9850, 'algorithm': 'naive_string_matcher'},
{'match': 0.888916015625, 'score': 0.888916015625, 'examples_seen': 84589, 'step': 9900, 'algorithm': 'naive_string_matcher'},
{'match': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 85026, 'step': 9950, 'algorithm': 'naive_string_matcher'},
