{'pred': 0.11547256097560976, 'score': 0.11547256097560976, 'examples_seen': 80, 'step': 0, 'algorithm': 'insertion_sort'},
{'pred': 0.7465701219512195, 'score': 0.7465701219512195, 'examples_seen': 49504, 'step': 1650, 'algorithm': 'insertion_sort'},
{'pred': 0.8033536585365854, 'score': 0.8033536585365854, 'examples_seen': 51120, 'step': 1700, 'algorithm': 'insertion_sort'},
{'pred': 0.7873475609756098, 'score': 0.7873475609756098, 'examples_seen': 52688, 'step': 1750, 'algorithm': 'insertion_sort'},
{'pred': 0.7446646341463414, 'score': 0.7446646341463414, 'examples_seen': 54112, 'step': 1800, 'algorithm': 'insertion_sort'},
{'pred': 0.729420731707317, 'score': 0.729420731707317, 'examples_seen': 55680, 'step': 1850, 'algorithm': 'insertion_sort'},
{'pred': 0.852515243902439, 'score': 0.852515243902439, 'examples_seen': 57056, 'step': 1900, 'algorithm': 'insertion_sort'},
{'pred': 0.5358231707317073, 'score': 0.5358231707317073, 'examples_seen': 58688, 'step': 1950, 'algorithm': 'insertion_sort'},
{'pred': 0.8098323170731707, 'score': 0.8098323170731707, 'examples_seen': 60048, 'step': 2000, 'algorithm': 'insertion_sort'},
{'pred': 0.7641006097560976, 'score': 0.7641006097560976, 'examples_seen': 61664, 'step': 2050, 'algorithm': 'insertion_sort'},
{'pred': 0.786204268292683, 'score': 0.786204268292683, 'examples_seen': 63168, 'step': 2100, 'algorithm': 'insertion_sort'},
{'pred': 0.5948932926829268, 'score': 0.5948932926829268, 'examples_seen': 64608, 'step': 2150, 'algorithm': 'insertion_sort'},
{'pred': 0.6272865853658537, 'score': 0.6272865853658537, 'examples_seen': 66192, 'step': 2200, 'algorithm': 'insertion_sort'},
{'pred': 0.8422256097560976, 'score': 0.8422256097560976, 'examples_seen': 67584, 'step': 2250, 'algorithm': 'insertion_sort'},
{'pred': 0.6989329268292683, 'score': 0.6989329268292683, 'examples_seen': 69200, 'step': 2300, 'algorithm': 'insertion_sort'},
{'pred': 0.854420731707317, 'score': 0.854420731707317, 'examples_seen': 70544, 'step': 2350, 'algorithm': 'insertion_sort'},
{'pred': 0.8296493902439024, 'score': 0.8296493902439024, 'examples_seen': 72128, 'step': 2400, 'algorithm': 'insertion_sort'},
{'pred': 0.8144054878048781, 'score': 0.8144054878048781, 'examples_seen': 73712, 'step': 2450, 'algorithm': 'insertion_sort'},
{'pred': 0.8220274390243902, 'score': 0.8220274390243902, 'examples_seen': 75136, 'step': 2500, 'algorithm': 'insertion_sort'},
{'pred': 0.7961128048780488, 'score': 0.7961128048780488, 'examples_seen': 76736, 'step': 2550, 'algorithm': 'insertion_sort'},
{'pred': 0.7983993902439024, 'score': 0.7983993902439024, 'examples_seen': 78112, 'step': 2600, 'algorithm': 'insertion_sort'},
{'pred': 0.6497713414634146, 'score': 0.6497713414634146, 'examples_seen': 79712, 'step': 2650, 'algorithm': 'insertion_sort'},
{'pred': 0.8540396341463414, 'score': 0.8540396341463414, 'examples_seen': 81024, 'step': 2700, 'algorithm': 'insertion_sort'},
{'pred': 0.7987804878048781, 'score': 0.7987804878048781, 'examples_seen': 82672, 'step': 2750, 'algorithm': 'insertion_sort'},
{'pred': 0.7625762195121951, 'score': 0.7625762195121951, 'examples_seen': 84192, 'step': 2800, 'algorithm': 'insertion_sort'},
{'pred': 0.7846798780487805, 'score': 0.7846798780487805, 'examples_seen': 85648, 'step': 2850, 'algorithm': 'insertion_sort'},
{'pred': 0.8456554878048781, 'score': 0.8456554878048781, 'examples_seen': 87216, 'step': 2900, 'algorithm': 'insertion_sort'},
{'pred': 0.8452743902439024, 'score': 0.8452743902439024, 'examples_seen': 88576, 'step': 2950, 'algorithm': 'insertion_sort'},
{'pred': 0.9100609756097561, 'score': 0.9100609756097561, 'examples_seen': 90208, 'step': 3000, 'algorithm': 'insertion_sort'},
{'pred': 0.8464176829268293, 'score': 0.8464176829268293, 'examples_seen': 91552, 'step': 3050, 'algorithm': 'insertion_sort'},
{'pred': 0.8475609756097561, 'score': 0.8475609756097561, 'examples_seen': 93184, 'step': 3100, 'algorithm': 'insertion_sort'},
{'pred': 0.807545731707317, 'score': 0.807545731707317, 'examples_seen': 94704, 'step': 3150, 'algorithm': 'insertion_sort'},
{'pred': 0.8490853658536586, 'score': 0.8490853658536586, 'examples_seen': 96160, 'step': 3200, 'algorithm': 'insertion_sort'},
{'pred': 0.8029725609756098, 'score': 0.8029725609756098, 'examples_seen': 97728, 'step': 3250, 'algorithm': 'insertion_sort'},
{'pred': 0.7057926829268293, 'score': 0.7057926829268293, 'examples_seen': 99104, 'step': 3300, 'algorithm': 'insertion_sort'},
{'pred': 0.803734756097561, 'score': 0.803734756097561, 'examples_seen': 100704, 'step': 3350, 'algorithm': 'insertion_sort'},
{'pred': 0.8300304878048781, 'score': 0.8300304878048781, 'examples_seen': 102048, 'step': 3400, 'algorithm': 'insertion_sort'},
{'pred': 0.8567073170731707, 'score': 0.8567073170731707, 'examples_seen': 103680, 'step': 3450, 'algorithm': 'insertion_sort'},
{'pred': 0.8022103658536586, 'score': 0.8022103658536586, 'examples_seen': 105216, 'step': 3500, 'algorithm': 'insertion_sort'},
{'pred': 0.8346036585365854, 'score': 0.8346036585365854, 'examples_seen': 106672, 'step': 3550, 'algorithm': 'insertion_sort'},
{'pred': 0.8708079268292683, 'score': 0.8708079268292683, 'examples_seen': 108256, 'step': 3600, 'algorithm': 'insertion_sort'},
{'pred': 0.8586128048780488, 'score': 0.8586128048780488, 'examples_seen': 109632, 'step': 3650, 'algorithm': 'insertion_sort'},
{'pred': 0.819359756097561, 'score': 0.819359756097561, 'examples_seen': 111248, 'step': 3700, 'algorithm': 'insertion_sort'},
{'pred': 0.8620426829268293, 'score': 0.8620426829268293, 'examples_seen': 112576, 'step': 3750, 'algorithm': 'insertion_sort'},
{'pred': 0.8182164634146342, 'score': 0.8182164634146342, 'examples_seen': 114240, 'step': 3800, 'algorithm': 'insertion_sort'},
{'pred': 0.7660060975609756, 'score': 0.7660060975609756, 'examples_seen': 115744, 'step': 3850, 'algorithm': 'insertion_sort'},
{'pred': 0.8185975609756098, 'score': 0.8185975609756098, 'examples_seen': 117184, 'step': 3900, 'algorithm': 'insertion_sort'},
{'pred': 0.850609756097561, 'score': 0.850609756097561, 'examples_seen': 118784, 'step': 3950, 'algorithm': 'insertion_sort'},
{'pred': 0.7835365853658537, 'score': 0.7835365853658537, 'examples_seen': 120160, 'step': 4000, 'algorithm': 'insertion_sort'},
{'pred': 0.8509908536585366, 'score': 0.8509908536585366, 'examples_seen': 121776, 'step': 4050, 'algorithm': 'insertion_sort'},
{'pred': 0.885670731707317, 'score': 0.885670731707317, 'examples_seen': 123088, 'step': 4100, 'algorithm': 'insertion_sort'},
{'pred': 0.754954268292683, 'score': 0.754954268292683, 'examples_seen': 124704, 'step': 4150, 'algorithm': 'insertion_sort'},
{'pred': 0.8738567073170732, 'score': 0.8738567073170732, 'examples_seen': 126272, 'step': 4200, 'algorithm': 'insertion_sort'},
{'pred': 0.8216463414634146, 'score': 0.8216463414634146, 'examples_seen': 127696, 'step': 4250, 'algorithm': 'insertion_sort'},
{'pred': 0.8105945121951219, 'score': 0.8105945121951219, 'examples_seen': 129296, 'step': 4300, 'algorithm': 'insertion_sort'},
{'pred': 0.8311737804878049, 'score': 0.8311737804878049, 'examples_seen': 130672, 'step': 4350, 'algorithm': 'insertion_sort'},
{'pred': 0.807545731707317, 'score': 0.807545731707317, 'examples_seen': 132272, 'step': 4400, 'algorithm': 'insertion_sort'},
{'pred': 0.9051067073170732, 'score': 0.9051067073170732, 'examples_seen': 133600, 'step': 4450, 'algorithm': 'insertion_sort'},
{'pred': 0.7983993902439024, 'score': 0.7983993902439024, 'examples_seen': 135264, 'step': 4500, 'algorithm': 'insertion_sort'},
{'pred': 0.8380335365853658, 'score': 0.8380335365853658, 'examples_seen': 136768, 'step': 4550, 'algorithm': 'insertion_sort'},
{'pred': 0.8879573170731707, 'score': 0.8879573170731707, 'examples_seen': 138224, 'step': 4600, 'algorithm': 'insertion_sort'},
{'pred': 0.8620426829268293, 'score': 0.8620426829268293, 'examples_seen': 139776, 'step': 4650, 'algorithm': 'insertion_sort'},
{'pred': 0.8711890243902439, 'score': 0.8711890243902439, 'examples_seen': 141152, 'step': 4700, 'algorithm': 'insertion_sort'},
{'pred': 0.8669969512195121, 'score': 0.8669969512195121, 'examples_seen': 142800, 'step': 4750, 'algorithm': 'insertion_sort'},
{'pred': 0.8189786585365854, 'score': 0.8189786585365854, 'examples_seen': 144112, 'step': 4800, 'algorithm': 'insertion_sort'},
{'pred': 0.8608993902439024, 'score': 0.8608993902439024, 'examples_seen': 145792, 'step': 4850, 'algorithm': 'insertion_sort'},
{'pred': 0.881859756097561, 'score': 0.881859756097561, 'examples_seen': 147296, 'step': 4900, 'algorithm': 'insertion_sort'},
{'pred': 0.8067835365853658, 'score': 0.8067835365853658, 'examples_seen': 148720, 'step': 4950, 'algorithm': 'insertion_sort'},
{'pred': 0.8860518292682927, 'score': 0.8860518292682927, 'examples_seen': 150272, 'step': 5000, 'algorithm': 'insertion_sort'},
{'pred': 0.9104420731707317, 'score': 0.9104420731707317, 'examples_seen': 151648, 'step': 5050, 'algorithm': 'insertion_sort'},
{'pred': 0.8346036585365854, 'score': 0.8346036585365854, 'examples_seen': 153296, 'step': 5100, 'algorithm': 'insertion_sort'},
{'pred': 0.8765243902439024, 'score': 0.8765243902439024, 'examples_seen': 154640, 'step': 5150, 'algorithm': 'insertion_sort'},
{'pred': 0.883765243902439, 'score': 0.883765243902439, 'examples_seen': 156288, 'step': 5200, 'algorithm': 'insertion_sort'},
{'pred': 0.868140243902439, 'score': 0.868140243902439, 'examples_seen': 157776, 'step': 5250, 'algorithm': 'insertion_sort'},
{'pred': 0.8250762195121951, 'score': 0.8250762195121951, 'examples_seen': 159216, 'step': 5300, 'algorithm': 'insertion_sort'},
{'pred': 0.8795731707317073, 'score': 0.8795731707317073, 'examples_seen': 160832, 'step': 5350, 'algorithm': 'insertion_sort'},
{'pred': 0.8433689024390244, 'score': 0.8433689024390244, 'examples_seen': 162192, 'step': 5400, 'algorithm': 'insertion_sort'},
{'pred': 0.881859756097561, 'score': 0.881859756097561, 'examples_seen': 163840, 'step': 5450, 'algorithm': 'insertion_sort'},
{'pred': 0.8852896341463414, 'score': 0.8852896341463414, 'examples_seen': 165136, 'step': 5500, 'algorithm': 'insertion_sort'},
{'pred': 0.8616615853658537, 'score': 0.8616615853658537, 'examples_seen': 166752, 'step': 5550, 'algorithm': 'insertion_sort'},
{'pred': 0.801829268292683, 'score': 0.801829268292683, 'examples_seen': 168304, 'step': 5600, 'algorithm': 'insertion_sort'},
{'pred': 0.864329268292683, 'score': 0.864329268292683, 'examples_seen': 169760, 'step': 5650, 'algorithm': 'insertion_sort'},
{'pred': 0.8746189024390244, 'score': 0.8746189024390244, 'examples_seen': 171344, 'step': 5700, 'algorithm': 'insertion_sort'},
{'pred': 0.8986280487804879, 'score': 0.8986280487804879, 'examples_seen': 172704, 'step': 5750, 'algorithm': 'insertion_sort'},
{'pred': 0.8113567073170732, 'score': 0.8113567073170732, 'examples_seen': 174320, 'step': 5800, 'algorithm': 'insertion_sort'},
{'pred': 0.8776676829268293, 'score': 0.8776676829268293, 'examples_seen': 175648, 'step': 5850, 'algorithm': 'insertion_sort'},
{'pred': 0.9207317073170732, 'score': 0.9207317073170732, 'examples_seen': 177296, 'step': 5900, 'algorithm': 'insertion_sort'},
{'pred': 0.9241615853658537, 'score': 0.9241615853658537, 'examples_seen': 178816, 'step': 5950, 'algorithm': 'insertion_sort'},
{'pred': 0.8677591463414634, 'score': 0.8677591463414634, 'examples_seen': 180288, 'step': 6000, 'algorithm': 'insertion_sort'},
{'pred': 0.8963414634146342, 'score': 0.8963414634146342, 'examples_seen': 181824, 'step': 6050, 'algorithm': 'insertion_sort'},
{'pred': 0.8631859756097561, 'score': 0.8631859756097561, 'examples_seen': 183216, 'step': 6100, 'algorithm': 'insertion_sort'},
{'pred': 0.9085365853658537, 'score': 0.9085365853658537, 'examples_seen': 184864, 'step': 6150, 'algorithm': 'insertion_sort'},
{'pred': 0.8959603658536586, 'score': 0.8959603658536586, 'examples_seen': 186160, 'step': 6200, 'algorithm': 'insertion_sort'},
{'pred': 0.8677591463414634, 'score': 0.8677591463414634, 'examples_seen': 187808, 'step': 6250, 'algorithm': 'insertion_sort'},
{'pred': 0.9081554878048781, 'score': 0.9081554878048781, 'examples_seen': 189344, 'step': 6300, 'algorithm': 'insertion_sort'},
{'pred': 0.890625, 'score': 0.890625, 'examples_seen': 190816, 'step': 6350, 'algorithm': 'insertion_sort'},
{'pred': 0.8258384146341463, 'score': 0.8258384146341463, 'examples_seen': 192368, 'step': 6400, 'algorithm': 'insertion_sort'},
{'pred': 0.9043445121951219, 'score': 0.9043445121951219, 'examples_seen': 193744, 'step': 6450, 'algorithm': 'insertion_sort'},
{'pred': 0.8380335365853658, 'score': 0.8380335365853658, 'examples_seen': 195360, 'step': 6500, 'algorithm': 'insertion_sort'},
{'pred': 0.9005335365853658, 'score': 0.9005335365853658, 'examples_seen': 196704, 'step': 6550, 'algorithm': 'insertion_sort'},
{'pred': 0.8833841463414634, 'score': 0.8833841463414634, 'examples_seen': 198352, 'step': 6600, 'algorithm': 'insertion_sort'},
{'pred': 0.8201219512195121, 'score': 0.8201219512195121, 'examples_seen': 199856, 'step': 6650, 'algorithm': 'insertion_sort'},
{'pred': 0.8509908536585366, 'score': 0.8509908536585366, 'examples_seen': 201296, 'step': 6700, 'algorithm': 'insertion_sort'},
{'pred': 0.8159298780487805, 'score': 0.8159298780487805, 'examples_seen': 202880, 'step': 6750, 'algorithm': 'insertion_sort'},
{'pred': 0.8311737804878049, 'score': 0.8311737804878049, 'examples_seen': 204256, 'step': 6800, 'algorithm': 'insertion_sort'},
{'pred': 0.8925304878048781, 'score': 0.8925304878048781, 'examples_seen': 205872, 'step': 6850, 'algorithm': 'insertion_sort'},
{'pred': 0.8399390243902439, 'score': 0.8399390243902439, 'examples_seen': 207184, 'step': 6900, 'algorithm': 'insertion_sort'},
{'pred': 0.8723323170731707, 'score': 0.8723323170731707, 'examples_seen': 208816, 'step': 6950, 'algorithm': 'insertion_sort'},
{'pred': 0.7831554878048781, 'score': 0.7831554878048781, 'examples_seen': 210352, 'step': 7000, 'algorithm': 'insertion_sort'},
{'pred': 0.8902439024390244, 'score': 0.8902439024390244, 'examples_seen': 211808, 'step': 7050, 'algorithm': 'insertion_sort'},
{'pred': 0.9134908536585366, 'score': 0.9134908536585366, 'examples_seen': 213392, 'step': 7100, 'algorithm': 'insertion_sort'},
{'pred': 0.8628048780487805, 'score': 0.8628048780487805, 'examples_seen': 214768, 'step': 7150, 'algorithm': 'insertion_sort'},
{'pred': 0.90625, 'score': 0.90625, 'examples_seen': 216384, 'step': 7200, 'algorithm': 'insertion_sort'},
{'pred': 0.8079268292682927, 'score': 0.8079268292682927, 'examples_seen': 217712, 'step': 7250, 'algorithm': 'insertion_sort'},
{'pred': 0.8860518292682927, 'score': 0.8860518292682927, 'examples_seen': 219360, 'step': 7300, 'algorithm': 'insertion_sort'},
{'pred': 0.8441310975609756, 'score': 0.8441310975609756, 'examples_seen': 220880, 'step': 7350, 'algorithm': 'insertion_sort'},
{'pred': 0.8959603658536586, 'score': 0.8959603658536586, 'examples_seen': 222320, 'step': 7400, 'algorithm': 'insertion_sort'},
{'pred': 0.9211128048780488, 'score': 0.9211128048780488, 'examples_seen': 223920, 'step': 7450, 'algorithm': 'insertion_sort'},
{'pred': 0.9020579268292683, 'score': 0.9020579268292683, 'examples_seen': 225296, 'step': 7500, 'algorithm': 'insertion_sort'},
{'pred': 0.8109756097560976, 'score': 0.8109756097560976, 'examples_seen': 226864, 'step': 7550, 'algorithm': 'insertion_sort'},
{'pred': 0.8776676829268293, 'score': 0.8776676829268293, 'examples_seen': 228256, 'step': 7600, 'algorithm': 'insertion_sort'},
{'pred': 0.8929115853658537, 'score': 0.8929115853658537, 'examples_seen': 229856, 'step': 7650, 'algorithm': 'insertion_sort'},
{'pred': 0.8258384146341463, 'score': 0.8258384146341463, 'examples_seen': 231440, 'step': 7700, 'algorithm': 'insertion_sort'},
{'pred': 0.8959603658536586, 'score': 0.8959603658536586, 'examples_seen': 232864, 'step': 7750, 'algorithm': 'insertion_sort'},
{'pred': 0.8296493902439024, 'score': 0.8296493902439024, 'examples_seen': 234400, 'step': 7800, 'algorithm': 'insertion_sort'},
{'pred': 0.885670731707317, 'score': 0.885670731707317, 'examples_seen': 235792, 'step': 7850, 'algorithm': 'insertion_sort'},
{'pred': 0.8540396341463414, 'score': 0.8540396341463414, 'examples_seen': 237392, 'step': 7900, 'algorithm': 'insertion_sort'},
{'pred': 0.8307926829268293, 'score': 0.8307926829268293, 'examples_seen': 238736, 'step': 7950, 'algorithm': 'insertion_sort'},
{'pred': 0.8814786585365854, 'score': 0.8814786585365854, 'examples_seen': 240384, 'step': 8000, 'algorithm': 'insertion_sort'},
{'pred': 0.8833841463414634, 'score': 0.8833841463414634, 'examples_seen': 241904, 'step': 8050, 'algorithm': 'insertion_sort'},
{'pred': 0.8422256097560976, 'score': 0.8422256097560976, 'examples_seen': 243328, 'step': 8100, 'algorithm': 'insertion_sort'},
{'pred': 0.8605182926829268, 'score': 0.8605182926829268, 'examples_seen': 244912, 'step': 8150, 'algorithm': 'insertion_sort'},
{'pred': 0.7225609756097561, 'score': 0.7225609756097561, 'examples_seen': 246272, 'step': 8200, 'algorithm': 'insertion_sort'},
{'pred': 0.8586128048780488, 'score': 0.8586128048780488, 'examples_seen': 247936, 'step': 8250, 'algorithm': 'insertion_sort'},
{'pred': 0.8624237804878049, 'score': 0.8624237804878049, 'examples_seen': 249264, 'step': 8300, 'algorithm': 'insertion_sort'},
{'pred': 0.8936737804878049, 'score': 0.8936737804878049, 'examples_seen': 250880, 'step': 8350, 'algorithm': 'insertion_sort'},
{'pred': 0.8586128048780488, 'score': 0.8586128048780488, 'examples_seen': 252416, 'step': 8400, 'algorithm': 'insertion_sort'},
{'pred': 0.8601371951219512, 'score': 0.8601371951219512, 'examples_seen': 253840, 'step': 8450, 'algorithm': 'insertion_sort'},
{'pred': 0.8769054878048781, 'score': 0.8769054878048781, 'examples_seen': 255456, 'step': 8500, 'algorithm': 'insertion_sort'},
{'pred': 0.7328506097560976, 'score': 0.7328506097560976, 'examples_seen': 256816, 'step': 8550, 'algorithm': 'insertion_sort'},
{'pred': 0.8384146341463414, 'score': 0.8384146341463414, 'examples_seen': 258448, 'step': 8600, 'algorithm': 'insertion_sort'},
{'pred': 0.828125, 'score': 0.828125, 'examples_seen': 259744, 'step': 8650, 'algorithm': 'insertion_sort'},
{'pred': 0.8185975609756098, 'score': 0.8185975609756098, 'examples_seen': 261408, 'step': 8700, 'algorithm': 'insertion_sort'},
{'pred': 0.866234756097561, 'score': 0.866234756097561, 'examples_seen': 262944, 'step': 8750, 'algorithm': 'insertion_sort'},
{'pred': 0.8536585365853658, 'score': 0.8536585365853658, 'examples_seen': 264400, 'step': 8800, 'algorithm': 'insertion_sort'},
{'pred': 0.8083079268292683, 'score': 0.8083079268292683, 'examples_seen': 265968, 'step': 8850, 'algorithm': 'insertion_sort'},
{'pred': 0.8426067073170732, 'score': 0.8426067073170732, 'examples_seen': 267344, 'step': 8900, 'algorithm': 'insertion_sort'},
{'pred': 0.7850609756097561, 'score': 0.7850609756097561, 'examples_seen': 268944, 'step': 8950, 'algorithm': 'insertion_sort'},
{'pred': 0.8296493902439024, 'score': 0.8296493902439024, 'examples_seen': 270304, 'step': 9000, 'algorithm': 'insertion_sort'},
{'pred': 0.7972560975609756, 'score': 0.7972560975609756, 'examples_seen': 271904, 'step': 9050, 'algorithm': 'insertion_sort'},
{'pred': 0.8467987804878049, 'score': 0.8467987804878049, 'examples_seen': 273472, 'step': 9100, 'algorithm': 'insertion_sort'},
{'pred': 0.9199695121951219, 'score': 0.9199695121951219, 'examples_seen': 274896, 'step': 9150, 'algorithm': 'insertion_sort'},
{'pred': 0.8456554878048781, 'score': 0.8456554878048781, 'examples_seen': 276464, 'step': 9200, 'algorithm': 'insertion_sort'},
{'pred': 0.8567073170731707, 'score': 0.8567073170731707, 'examples_seen': 277840, 'step': 9250, 'algorithm': 'insertion_sort'},
{'pred': 0.8079268292682927, 'score': 0.8079268292682927, 'examples_seen': 279456, 'step': 9300, 'algorithm': 'insertion_sort'},
{'pred': 0.7785823170731707, 'score': 0.7785823170731707, 'examples_seen': 280832, 'step': 9350, 'algorithm': 'insertion_sort'},
{'pred': 0.850609756097561, 'score': 0.850609756097561, 'examples_seen': 282416, 'step': 9400, 'algorithm': 'insertion_sort'},
{'pred': 0.8894817073170732, 'score': 0.8894817073170732, 'examples_seen': 283968, 'step': 9450, 'algorithm': 'insertion_sort'},
{'pred': 0.7938262195121951, 'score': 0.7938262195121951, 'examples_seen': 285408, 'step': 9500, 'algorithm': 'insertion_sort'},
{'pred': 0.8243140243902439, 'score': 0.8243140243902439, 'examples_seen': 286992, 'step': 9550, 'algorithm': 'insertion_sort'},
{'pred': 0.7808689024390244, 'score': 0.7808689024390244, 'examples_seen': 288368, 'step': 9600, 'algorithm': 'insertion_sort'},
{'pred': 0.7938262195121951, 'score': 0.7938262195121951, 'examples_seen': 290016, 'step': 9650, 'algorithm': 'insertion_sort'},
{'pred': 0.8083079268292683, 'score': 0.8083079268292683, 'examples_seen': 291312, 'step': 9700, 'algorithm': 'insertion_sort'},
{'pred': 0.9180640243902439, 'score': 0.9180640243902439, 'examples_seen': 292928, 'step': 9750, 'algorithm': 'insertion_sort'},
{'pred': 0.7930640243902439, 'score': 0.7930640243902439, 'examples_seen': 294464, 'step': 9800, 'algorithm': 'insertion_sort'},
{'pred': 0.8807164634146342, 'score': 0.8807164634146342, 'examples_seen': 295904, 'step': 9850, 'algorithm': 'insertion_sort'},
{'pred': 0.7633384146341463, 'score': 0.7633384146341463, 'examples_seen': 297504, 'step': 9900, 'algorithm': 'insertion_sort'},
{'pred': 0.8887195121951219, 'score': 0.8887195121951219, 'examples_seen': 298864, 'step': 9950, 'algorithm': 'insertion_sort'},
