{'score': 0.053156146179401995, 'examples_seen': 16, 'step': 0, 'algorithm': 'articulation_points'},
{'score': 0.38805970149253727, 'examples_seen': 20941, 'step': 2400, 'algorithm': 'articulation_points'},
{'score': 0.2693682955899881, 'examples_seen': 21377, 'step': 2450, 'algorithm': 'articulation_points'},
{'score': 0.3323615160349854, 'examples_seen': 21795, 'step': 2500, 'algorithm': 'articulation_points'},
{'score': 0.36729857819905215, 'examples_seen': 22256, 'step': 2550, 'algorithm': 'articulation_points'},
{'score': 0.34146341463414637, 'examples_seen': 22640, 'step': 2600, 'algorithm': 'articulation_points'},
{'score': 0.5972495088408646, 'examples_seen': 23116, 'step': 2650, 'algorithm': 'articulation_points'},
{'score': 0.4517133956386293, 'examples_seen': 23495, 'step': 2700, 'algorithm': 'articulation_points'},
{'score': 0.22380106571936056, 'examples_seen': 23972, 'step': 2750, 'algorithm': 'articulation_points'},
{'score': 0.3689604685212299, 'examples_seen': 24409, 'step': 2800, 'algorithm': 'articulation_points'},
{'score': 0.24796747967479674, 'examples_seen': 24826, 'step': 2850, 'algorithm': 'articulation_points'},
{'score': 0.25435540069686413, 'examples_seen': 25299, 'step': 2900, 'algorithm': 'articulation_points'},
{'score': 0.3609958506224067, 'examples_seen': 25693, 'step': 2950, 'algorithm': 'articulation_points'},
{'score': 0.3431372549019608, 'examples_seen': 26167, 'step': 3000, 'algorithm': 'articulation_points'},
{'score': 0.29870129870129863, 'examples_seen': 26554, 'step': 3050, 'algorithm': 'articulation_points'},
{'score': 0.4533333333333333, 'examples_seen': 27044, 'step': 3100, 'algorithm': 'articulation_points'},
{'score': 0.3412462908011869, 'examples_seen': 27483, 'step': 3150, 'algorithm': 'articulation_points'},
{'score': 0.4788732394366197, 'examples_seen': 27905, 'step': 3200, 'algorithm': 'articulation_points'},
{'score': 0.34398782343987827, 'examples_seen': 28381, 'step': 3250, 'algorithm': 'articulation_points'},
{'score': 0.5788667687595712, 'examples_seen': 28751, 'step': 3300, 'algorithm': 'articulation_points'},
{'score': 0.41994750656167973, 'examples_seen': 29241, 'step': 3350, 'algorithm': 'articulation_points'},
{'score': 0.3663003663003663, 'examples_seen': 29628, 'step': 3400, 'algorithm': 'articulation_points'},
{'score': 0.40975609756097564, 'examples_seen': 30108, 'step': 3450, 'algorithm': 'articulation_points'},
{'score': 0.4268292682926829, 'examples_seen': 30550, 'step': 3500, 'algorithm': 'articulation_points'},
{'score': 0.48067226890756304, 'examples_seen': 30962, 'step': 3550, 'algorithm': 'articulation_points'},
{'score': 0.5512265512265512, 'examples_seen': 31424, 'step': 3600, 'algorithm': 'articulation_points'},
{'score': 0.5830815709969788, 'examples_seen': 31814, 'step': 3650, 'algorithm': 'articulation_points'},
{'score': 0.255863539445629, 'examples_seen': 32286, 'step': 3700, 'algorithm': 'articulation_points'},
{'score': 0.33398821218074654, 'examples_seen': 32678, 'step': 3750, 'algorithm': 'articulation_points'},
{'score': 0.3508771929824562, 'examples_seen': 33152, 'step': 3800, 'algorithm': 'articulation_points'},
{'score': 0.34256055363321797, 'examples_seen': 33597, 'step': 3850, 'algorithm': 'articulation_points'},
{'score': 0.30699774266365687, 'examples_seen': 34012, 'step': 3900, 'algorithm': 'articulation_points'},
{'score': 0.3705583756345178, 'examples_seen': 34478, 'step': 3950, 'algorithm': 'articulation_points'},
{'score': 0.2494117647058824, 'examples_seen': 34865, 'step': 4000, 'algorithm': 'articulation_points'},
{'score': 0.24415584415584418, 'examples_seen': 35325, 'step': 4050, 'algorithm': 'articulation_points'},
{'score': 0.2922636103151862, 'examples_seen': 35711, 'step': 4100, 'algorithm': 'articulation_points'},
{'score': 0.1996779388083736, 'examples_seen': 36189, 'step': 4150, 'algorithm': 'articulation_points'},
{'score': 0.2508591065292096, 'examples_seen': 36637, 'step': 4200, 'algorithm': 'articulation_points'},
{'score': 0.4, 'examples_seen': 37047, 'step': 4250, 'algorithm': 'articulation_points'},
{'score': 0.24875621890547267, 'examples_seen': 37519, 'step': 4300, 'algorithm': 'articulation_points'},
{'score': 0.3850085178875638, 'examples_seen': 37910, 'step': 4350, 'algorithm': 'articulation_points'},
{'score': 0.44891122278056944, 'examples_seen': 38378, 'step': 4400, 'algorithm': 'articulation_points'},
{'score': 0.3220338983050848, 'examples_seen': 38762, 'step': 4450, 'algorithm': 'articulation_points'},
{'score': 0.360699865410498, 'examples_seen': 39245, 'step': 4500, 'algorithm': 'articulation_points'},
{'score': 0.27084927314460594, 'examples_seen': 39697, 'step': 4550, 'algorithm': 'articulation_points'},
{'score': 0.29814550641940085, 'examples_seen': 40104, 'step': 4600, 'algorithm': 'articulation_points'},
{'score': 0.29235880398671094, 'examples_seen': 40578, 'step': 4650, 'algorithm': 'articulation_points'},
{'score': 0.3808180535966149, 'examples_seen': 40971, 'step': 4700, 'algorithm': 'articulation_points'},
{'score': 0.30752916224814425, 'examples_seen': 41445, 'step': 4750, 'algorithm': 'articulation_points'},
{'score': 0.2530487804878049, 'examples_seen': 41832, 'step': 4800, 'algorithm': 'articulation_points'},
{'score': 0.3297297297297297, 'examples_seen': 42310, 'step': 4850, 'algorithm': 'articulation_points'},
{'score': 0.32608695652173914, 'examples_seen': 42766, 'step': 4900, 'algorithm': 'articulation_points'},
{'score': 0.5477477477477477, 'examples_seen': 43171, 'step': 4950, 'algorithm': 'articulation_points'},
{'score': 0.7461430575035063, 'examples_seen': 43641, 'step': 5000, 'algorithm': 'articulation_points'},
{'score': 0.3181818181818182, 'examples_seen': 44027, 'step': 5050, 'algorithm': 'articulation_points'},
{'score': 0.7009063444108762, 'examples_seen': 44507, 'step': 5100, 'algorithm': 'articulation_points'},
{'score': 0.5904173106646059, 'examples_seen': 44881, 'step': 5150, 'algorithm': 'articulation_points'},
{'score': 0.4124087591240876, 'examples_seen': 45362, 'step': 5200, 'algorithm': 'articulation_points'},
{'score': 0.49180327868852464, 'examples_seen': 45808, 'step': 5250, 'algorithm': 'articulation_points'},
{'score': 0.3426443202979516, 'examples_seen': 46228, 'step': 5300, 'algorithm': 'articulation_points'},
{'score': 0.3575638506876228, 'examples_seen': 46690, 'step': 5350, 'algorithm': 'articulation_points'},
{'score': 0.3857331571994716, 'examples_seen': 47084, 'step': 5400, 'algorithm': 'articulation_points'},
{'score': 0.524031007751938, 'examples_seen': 47554, 'step': 5450, 'algorithm': 'articulation_points'},
{'score': 0.4854368932038835, 'examples_seen': 47930, 'step': 5500, 'algorithm': 'articulation_points'},
{'score': 0.5393634840871022, 'examples_seen': 48419, 'step': 5550, 'algorithm': 'articulation_points'},
{'score': 0.7119565217391304, 'examples_seen': 48856, 'step': 5600, 'algorithm': 'articulation_points'},
{'score': 0.5964214711729623, 'examples_seen': 49282, 'step': 5650, 'algorithm': 'articulation_points'},
{'score': 0.30450669914738127, 'examples_seen': 49743, 'step': 5700, 'algorithm': 'articulation_points'},
{'score': 0.6044142614601019, 'examples_seen': 50137, 'step': 5750, 'algorithm': 'articulation_points'},
{'score': 0.4980988593155894, 'examples_seen': 50614, 'step': 5800, 'algorithm': 'articulation_points'},
{'score': 0.5007541478129713, 'examples_seen': 50991, 'step': 5850, 'algorithm': 'articulation_points'},
{'score': 0.6585067319461444, 'examples_seen': 51477, 'step': 5900, 'algorithm': 'articulation_points'},
{'score': 0.7091172214182343, 'examples_seen': 51914, 'step': 5950, 'algorithm': 'articulation_points'},
{'score': 0.6860254083484573, 'examples_seen': 52326, 'step': 6000, 'algorithm': 'articulation_points'},
{'score': 0.6813186813186813, 'examples_seen': 52793, 'step': 6050, 'algorithm': 'articulation_points'},
{'score': 0.7380607814761216, 'examples_seen': 53181, 'step': 6100, 'algorithm': 'articulation_points'},
{'score': 0.6953271028037382, 'examples_seen': 53653, 'step': 6150, 'algorithm': 'articulation_points'},
{'score': 0.6445497630331753, 'examples_seen': 54043, 'step': 6200, 'algorithm': 'articulation_points'},
{'score': 0.5477707006369428, 'examples_seen': 54524, 'step': 6250, 'algorithm': 'articulation_points'},
{'score': 0.7649769585253456, 'examples_seen': 54964, 'step': 6300, 'algorithm': 'articulation_points'},
{'score': 0.6333333333333333, 'examples_seen': 55388, 'step': 6350, 'algorithm': 'articulation_points'},
{'score': 0.7182320441988951, 'examples_seen': 55855, 'step': 6400, 'algorithm': 'articulation_points'},
{'score': 0.6598778004073319, 'examples_seen': 56251, 'step': 6450, 'algorithm': 'articulation_points'},
{'score': 0.6511627906976745, 'examples_seen': 56719, 'step': 6500, 'algorithm': 'articulation_points'},
{'score': 0.6357786357786358, 'examples_seen': 57109, 'step': 6550, 'algorithm': 'articulation_points'},
{'score': 0.698989898989899, 'examples_seen': 57592, 'step': 6600, 'algorithm': 'articulation_points'},
{'score': 0.664886515353805, 'examples_seen': 58040, 'step': 6650, 'algorithm': 'articulation_points'},
{'score': 0.6933797909407665, 'examples_seen': 58458, 'step': 6700, 'algorithm': 'articulation_points'},
{'score': 0.6217870257037945, 'examples_seen': 58923, 'step': 6750, 'algorithm': 'articulation_points'},
{'score': 0.7546012269938651, 'examples_seen': 59304, 'step': 6800, 'algorithm': 'articulation_points'},
{'score': 0.6872964169381107, 'examples_seen': 59796, 'step': 6850, 'algorithm': 'articulation_points'},
{'score': 0.44565217391304346, 'examples_seen': 60175, 'step': 6900, 'algorithm': 'articulation_points'},
{'score': 0.40734557595993326, 'examples_seen': 60654, 'step': 6950, 'algorithm': 'articulation_points'},
{'score': 0.7835990888382688, 'examples_seen': 61086, 'step': 7000, 'algorithm': 'articulation_points'},
{'score': 0.6732348111658456, 'examples_seen': 61512, 'step': 7050, 'algorithm': 'articulation_points'},
{'score': 0.616504854368932, 'examples_seen': 61979, 'step': 7100, 'algorithm': 'articulation_points'},
{'score': 0.49916805324459235, 'examples_seen': 62370, 'step': 7150, 'algorithm': 'articulation_points'},
{'score': 0.5148895292987512, 'examples_seen': 62841, 'step': 7200, 'algorithm': 'articulation_points'},
{'score': 0.6892430278884463, 'examples_seen': 63222, 'step': 7250, 'algorithm': 'articulation_points'},
{'score': 0.6691086691086691, 'examples_seen': 63695, 'step': 7300, 'algorithm': 'articulation_points'},
{'score': 0.4827586206896552, 'examples_seen': 64136, 'step': 7350, 'algorithm': 'articulation_points'},
{'score': 0.7494736842105264, 'examples_seen': 64554, 'step': 7400, 'algorithm': 'articulation_points'},
{'score': 0.6957787481804948, 'examples_seen': 65018, 'step': 7450, 'algorithm': 'articulation_points'},
{'score': 0.6171003717472118, 'examples_seen': 65412, 'step': 7500, 'algorithm': 'articulation_points'},
{'score': 0.5454545454545454, 'examples_seen': 65888, 'step': 7550, 'algorithm': 'articulation_points'},
{'score': 0.65015479876161, 'examples_seen': 66277, 'step': 7600, 'algorithm': 'articulation_points'},
{'score': 0.5107526881720429, 'examples_seen': 66763, 'step': 7650, 'algorithm': 'articulation_points'},
{'score': 0.6156462585034014, 'examples_seen': 67200, 'step': 7700, 'algorithm': 'articulation_points'},
{'score': 0.75, 'examples_seen': 67609, 'step': 7750, 'algorithm': 'articulation_points'},
{'score': 0.7504302925989673, 'examples_seen': 68079, 'step': 7800, 'algorithm': 'articulation_points'},
{'score': 0.7013422818791947, 'examples_seen': 68464, 'step': 7850, 'algorithm': 'articulation_points'},
{'score': 0.5581395348837209, 'examples_seen': 68947, 'step': 7900, 'algorithm': 'articulation_points'},
{'score': 0.8026315789473683, 'examples_seen': 69310, 'step': 7950, 'algorithm': 'articulation_points'},
{'score': 0.7542213883677297, 'examples_seen': 69799, 'step': 8000, 'algorithm': 'articulation_points'},
{'score': 0.7751937984496124, 'examples_seen': 70239, 'step': 8050, 'algorithm': 'articulation_points'},
{'score': 0.6526315789473685, 'examples_seen': 70656, 'step': 8100, 'algorithm': 'articulation_points'},
{'score': 0.6777777777777778, 'examples_seen': 71119, 'step': 8150, 'algorithm': 'articulation_points'},
{'score': 0.696551724137931, 'examples_seen': 71507, 'step': 8200, 'algorithm': 'articulation_points'},
{'score': 0.6899383983572897, 'examples_seen': 71975, 'step': 8250, 'algorithm': 'articulation_points'},
{'score': 0.7005988023952096, 'examples_seen': 72360, 'step': 8300, 'algorithm': 'articulation_points'},
{'score': 0.4124293785310734, 'examples_seen': 72843, 'step': 8350, 'algorithm': 'articulation_points'},
{'score': 0.5406360424028269, 'examples_seen': 73289, 'step': 8400, 'algorithm': 'articulation_points'},
{'score': 0.7584, 'examples_seen': 73697, 'step': 8450, 'algorithm': 'articulation_points'},
{'score': 0.7615780445969125, 'examples_seen': 74162, 'step': 8500, 'algorithm': 'articulation_points'},
{'score': 0.6950146627565983, 'examples_seen': 74544, 'step': 8550, 'algorithm': 'articulation_points'},
{'score': 0.5485391140433553, 'examples_seen': 75028, 'step': 8600, 'algorithm': 'articulation_points'},
{'score': 0.38898756660746003, 'examples_seen': 75416, 'step': 8650, 'algorithm': 'articulation_points'},
{'score': 0.5564648117839607, 'examples_seen': 75889, 'step': 8700, 'algorithm': 'articulation_points'},
{'score': 0.6153846153846153, 'examples_seen': 76339, 'step': 8750, 'algorithm': 'articulation_points'},
{'score': 0.6462395543175488, 'examples_seen': 76755, 'step': 8800, 'algorithm': 'articulation_points'},
{'score': 0.7441130298273155, 'examples_seen': 77218, 'step': 8850, 'algorithm': 'articulation_points'},
{'score': 0.627906976744186, 'examples_seen': 77615, 'step': 8900, 'algorithm': 'articulation_points'},
{'score': 0.7928221859706363, 'examples_seen': 78085, 'step': 8950, 'algorithm': 'articulation_points'},
{'score': 0.7107142857142857, 'examples_seen': 78468, 'step': 9000, 'algorithm': 'articulation_points'},
{'score': 0.710926694329184, 'examples_seen': 78953, 'step': 9050, 'algorithm': 'articulation_points'},
{'score': 0.5619546247818499, 'examples_seen': 79403, 'step': 9100, 'algorithm': 'articulation_points'},
{'score': 0.7054545454545454, 'examples_seen': 79812, 'step': 9150, 'algorithm': 'articulation_points'},
{'score': 0.6909090909090909, 'examples_seen': 80273, 'step': 9200, 'algorithm': 'articulation_points'},
{'score': 0.7184170471841704, 'examples_seen': 80665, 'step': 9250, 'algorithm': 'articulation_points'},
{'score': 0.7852760736196319, 'examples_seen': 81137, 'step': 9300, 'algorithm': 'articulation_points'},
{'score': 0.5804878048780487, 'examples_seen': 81519, 'step': 9350, 'algorithm': 'articulation_points'},
{'score': 0.717948717948718, 'examples_seen': 81991, 'step': 9400, 'algorithm': 'articulation_points'},
{'score': 0.6722338204592903, 'examples_seen': 82434, 'step': 9450, 'algorithm': 'articulation_points'},
{'score': 0.7230769230769231, 'examples_seen': 82847, 'step': 9500, 'algorithm': 'articulation_points'},
{'score': 0.7000000000000001, 'examples_seen': 83331, 'step': 9550, 'algorithm': 'articulation_points'},
{'score': 0.7024390243902439, 'examples_seen': 83716, 'step': 9600, 'algorithm': 'articulation_points'},
{'score': 0.7006535947712418, 'examples_seen': 84194, 'step': 9650, 'algorithm': 'articulation_points'},
{'score': 0.6656050955414012, 'examples_seen': 84580, 'step': 9700, 'algorithm': 'articulation_points'},
{'score': 0.6858513189448441, 'examples_seen': 85056, 'step': 9750, 'algorithm': 'articulation_points'},
{'score': 0.763157894736842, 'examples_seen': 85492, 'step': 9800, 'algorithm': 'articulation_points'},
{'score': 0.7142857142857143, 'examples_seen': 85915, 'step': 9850, 'algorithm': 'articulation_points'},
{'score': 0.7810650887573964, 'examples_seen': 86374, 'step': 9900, 'algorithm': 'articulation_points'},
{'score': 0.7145242070116862, 'examples_seen': 86768, 'step': 9950, 'algorithm': 'articulation_points'},
